MEMBER,PARTY,DISTRICT,TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS
A. Drew Ferguson,R,GA-3,96.40%,31.5,95.00%,1.4
Lance Gooden,R,TX-5,95.80%,28.4,94.30%,1.4
Joseph Crowley*,D,NY-14,17.00%,-57.9,15.60%,1.4
Clay Higgins,R,LA-3,96.90%,38.1,95.50%,1.4
Paul Mitchell,R,MI-10,96.40%,32.2,95.00%,1.4
C. A. Dutch Ruppersberger,D,MD-2,19.80%,-24.4,18.40%,1.4
Jason Chaffetz*,R,UT-3,100.00%,23.9,98.60%,1.4
Hakeem Jeffries,D,NY-8,11.50%,-71.1,10.20%,1.3
Julia Brownley,D,CA-26,20.40%,-21.9,19.10%,1.3
Evan H. Jenkins*,R,WV-3,96.70%,49.2,95.40%,1.3
Mac Thornberry,R,TX-13,97.00%,63,95.80%,1.2
Larry Bucshon,R,IN-8,96.30%,33.7,95.10%,1.2
Al Green,D,TX-9,11.90%,-61.3,10.80%,1.1
Guy Reschenthaler,R,PA-14,95.70%,29,94.60%,1.1
Danny K. Davis,D,IL-7,9.00%,-78.2,8.00%,1.1
Michael E. Capuano*,D,MA-7,15.40%,-72.2,14.30%,1
Darin LaHood,R,IL-18,95.20%,27.3,94.10%,1
Mike Gallagher,R,WI-8,89.80%,17.6,88.80%,1
Doug Lamborn,R,CO-5,94.00%,24,93.10%,0.9
Steven Palazzo,R,MS-4,96.90%,41.2,96.00%,0.9
Marcia L. Fudge,D,OH-11,11.70%,-63.5,10.80%,0.9
José E. Serrano,D,NY-15,10.10%,-88.9,9.30%,0.8
Steve Cohen,D,TN-9,12.00%,-57.7,11.30%,0.8
Robert A. Brady*,D,PA-1,17.20%,-61.3,16.50%,0.7
Elijah Cummings*,D,MD-7,11.70%,-55.6,11.00%,0.7
Zoe Lofgren,D,CA-19,12.80%,-51.4,12.10%,0.7
Nanette Diaz Barragán,D,CA-44,10.80%,-70.7,10.20%,0.7
Jimmy Gomez,D,CA-34,10.10%,-72.9,9.40%,0.6
Liz Cheney,R,WY-AL,96.30%,46.3,95.70%,0.6
Eddie Bernice Johnson,D,TX-30,11.90%,-60.8,11.30%,0.6
Frederica Wilson,D,FL-24,11.00%,-67.5,10.40%,0.6
Carolyn Maloney,D,NY-12,10.90%,-69.8,10.30%,0.6
Jodey Arrington,R,TX-19,96.40%,49,95.80%,0.6
William Timmons,R,SC-4,93.80%,25.7,93.20%,0.6
Tony Cárdenas,D,CA-29,11.70%,-60.9,11.20%,0.6
Lucille Roybal-Allard,D,CA-40,10.80%,-69.4,10.30%,0.6
Ryan K. Zinke*,R,MT-AL,100.00%,20.4,99.40%,0.6
Daniel Lipinski,D,IL-3,25.20%,-15.3,24.60%,0.6
Brenda Jones*,D,MI-13,66.70%,-60.7,66.10%,0.5
Dan Newhouse,R,WA-4,93.20%,22.8,92.70%,0.5
Colleen Hanabusa*,D,HI-1,21.40%,-32.6,21.00%,0.4
Mike Doyle,D,PA-18,15.20%,-27.5,14.80%,0.3
Jeb Hensarling*,R,TX-5,94.80%,28.4,94.50%,0.3
John Rose,R,TN-6,97.10%,48.9,96.80%,0.3
Hank Johnson,D,GA-4,12.00%,-53.1,11.80%,0.3
G.K. Butterfield,D,NC-1,14.50%,-37,14.30%,0.2
Brad Sherman,D,CA-30,13.30%,-43.4,13.10%,0.2
Cedric Richmond,D,LA-2,11.00%,-52.4,10.80%,0.2
Jerrold Nadler,D,NY-10,11.20%,-59.5,11.00%,0.2
Sam Graves,R,MO-6,95.60%,31.4,95.50%,0.1
Mike Johnson,R,LA-4,93.80%,24,93.60%,0.1
Ro Khanna,D,CA-17,11.40%,-53.4,11.30%,0.1
Martha Roby,R,AL-2,95.10%,31.9,95.00%,0.1
Ralph Abraham,R,LA-5,94.40%,29.4,94.30%,0.1
Sheila Jackson Lee,D,TX-18,11.40%,-56.5,11.40%,0
Xavier Becerra*,D,CA-34,0.00%,-72.9,0.00%,0
Phil Roe,R,TN-1,95.80%,57,95.80%,0
Jim Himes,D,CT-4,19.00%,-23,19.10%,-0.1
Greg Stanton,D,AZ-9,6.90%,-16.3,7.00%,-0.1
John Conyers Jr.*,D,MI-13,13.20%,-60.7,13.30%,-0.1
Trent Kelly,R,MS-1,95.20%,33,95.20%,-0.1
Tim Burchett,R,TN-2,95.80%,35.4,95.90%,-0.1
Brian Babin,R,TX-36,95.70%,46.8,95.80%,-0.1
Ted Lieu,D,CA-33,12.50%,-41.3,12.70%,-0.2
Ruben Gallego,D,AZ-7,12.20%,-49.2,12.40%,-0.2
David Kustoff,R,TN-8,95.20%,35.6,95.40%,-0.2
Fred Keller,R,PA-12,95.20%,36.4,95.50%,-0.3
Susan Davis,D,CA-53,14.50%,-34.9,14.80%,-0.3
Donald Payne Jr.,D,NJ-10,8.70%,-72.4,9.00%,-0.4
Vicente Gonzalez,D,TX-15,23.50%,-16.7,23.90%,-0.4
David Price,D,NC-4,13.20%,-40,13.60%,-0.4
