MEMBER,PARTY,DISTRICT,TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS
Thomas Massie,R,KY-4,69.90%,35.9,95.90%,-25.9
Joe Courtney,D,CT-2,17.50%,-2.9,43.50%,-26
Elaine Luria,D,VA-2,9.90%,3.4,36.20%,-26.3
Daniel Kildee,D,MI-5,13.30%,-4.2,40.90%,-27.6
Cheri Bustos,D,IL-17,23.40%,0.7,51.70%,-28.4
Ben McAdams,D,UT-4,20.80%,6.7,49.90%,-29.1
Cindy Axne,D,IA-3,6.90%,3.5,36.70%,-29.7
Abby Finkenauer,D,IA-1,6.90%,3.5,36.70%,-29.7
Sean Patrick Maloney,D,NY-18,22.40%,1.9,54.40%,-32
Lauren Underwood,D,IL-14,5.60%,3.9,38.30%,-32.7
Elizabeth H. Esty*,D,CT-5,26.30%,-4.1,60.40%,-34.1
Peter DeFazio,D,OR-4,14.90%,-0.1,49.10%,-34.2
Sander M. Levin*,D,MI-9,17.90%,-7.8,52.50%,-34.6
Haley Stevens,D,MI-11,5.60%,4.4,40.30%,-34.7
Ruben J. Kihuen*,D,NV-4,22.30%,-4.9,58.80%,-36.5
David Loebsack,D,IA-2,22.80%,4.1,60.60%,-37.8
Ron Kind,D,WI-3,20.80%,4.5,62.30%,-41.5
Abigail Spanberger,D,VA-7,6.90%,6.5,49.10%,-42.1
Andy Kim,D,NJ-3,5.60%,6.2,47.80%,-42.2
Elissa Slotkin,D,MI-8,5.60%,6.7,49.90%,-44.4
Walter B. Jones*,R,NC-3,49.30%,23.6,94.00%,-44.7
Antonio Delgado,D,NY-19,5.60%,6.8,50.30%,-44.8
Collin C. Peterson,D,MN-7,48.10%,30.8,95.20%,-47.1
Carol Shea-Porter*,D,NH-1,23.30%,1.6,71.70%,-48.4
Jared Golden,D,ME-2,12.50%,10.3,64.90%,-52.4
Max N. Rose,D,NY-11,8.50%,9.8,62.90%,-54.4
Matt Cartwright,D,PA-8,20.40%,9.6,75.90%,-55.6
Xochitl Torres Small,D,NM-2,8.30%,10.2,64.50%,-56.1
Kendra Horn,D,OK-5,15.30%,13.4,75.50%,-60.2
Richard M. Nolan*,D,MN-8,27.80%,15.6,90.40%,-62.6
Joe Cunningham,D,SC-1,8.50%,13.1,74.50%,-66.1
Anthony Brindisi,D,NY-22,12.50%,15.5,81.00%,-68.5
Timothy J. Walz*,D,MN-1,20.50%,14.9,89.20%,-68.7
